episode,ep_length,train_seconds,ep_env_score,ep_shaping_return,ep_final_bonus,epsilon
281,29.0,0.01701409835368395,0.0,0.0,0.0,0.5298320104694629
282,30.0,0.016251920955255628,0.0,0.0,0.0,0.52808618514438
283,34.0,0.011789247626438737,2.0,0.0,0.0,0.5268201082790533
284,31.0,0.014963292051106691,0.0,0.0,0.0,0.5250842073356927
285,29.0,0.012355126207694411,1.0,0.0,0.0,0.5236681800583629
286,32.0,0.013097769813612103,2.0,0.0,0.0,0.5224126952785473
287,35.0,0.01357954298146069,2.0,0.0,0.0,0.5211602205002791
288,38.0,0.015838106395676732,2.0,0.0,0.0,0.5197547752825833
289,36.0,0.019665381405502558,0.0,0.0,0.0,0.5178867423496708
290,27.0,0.011514022015035152,1.0,0.0,0.0,0.5168001585074234
291,31.0,0.01276242733001709,1.0,0.0,0.0,0.5155611396822963
292,34.0,0.00823196629062295,3.0,0.0,0.0,0.5146338253600664
293,29.0,0.013696422800421715,0.0,0.0,0.0,0.5130920064844405
294,31.0,0.010840099537745118,1.0,0.0,0.0,0.5118618778852302
295,34.0,0.013367287814617157,1.0,0.0,0.0,0.510328363634618
296,30.0,0.013282359577715397,0.0,0.0,0.0,0.5087994437209908
297,26.0,0.003966873278841376,3.0,0.0,0.0,0.5083416615837543
298,25.0,0.0026991849299520254,3.0,0.0,0.0,0.5080367023375536
299,31.0,0.006682903040200472,3.0,0.0,0.0,0.5072751043799301
300,36.0,0.010779845993965864,2.0,0.0,0.0,0.5060589216959689
301,29.0,0.0026645869947969913,3.0,0.0,0.0,0.5057553318882543
302,29.0,0.0069238676223903894,3.0,0.0,0.0,0.5049971539336873
303,28.0,0.008716965327039361,2.0,0.0,0.0,0.5040888405301274
304,31.0,0.006749085150659084,3.0,0.0,0.0,0.5033331608132051
305,31.0,0.013355783885344863,0.0,0.0,0.0,0.5018251982001234
306,26.0,0.0027312859892845154,3.0,0.0,0.0,0.5015241482454712
307,31.0,0.014688462717458606,0.0,0.0,0.0,0.49987159886784516
308,34.0,0.0052851124200969934,3.0,0.0,0.0,0.4992720228258851
309,29.0,0.01262623118236661,0.0,0.0,0.0,0.49792560487376986
310,37.0,0.014753046911209822,1.0,0.0,0.0,0.49643384304541616
311,31.0,0.011488435557112098,1.0,0.0,0.0,0.49524365208506516
312,34.0,0.011143948649987578,2.0,0.0,0.0,0.49405631458553667
313,33.0,0.014433213043957949,1.0,0.0,0.0,0.4925761449699519
314,36.0,0.013755406718701124,1.0,0.0,0.0,0.4911004098733202
315,35.0,0.017719801515340805,0.0,0.0,0.0,0.48918856201025707
316,31.0,0.00949727394618094,2.0,0.0,0.0,0.48816219013427337
317,30.0,0.006776359165087342,3.0,0.0,0.0,0.4874303860632591
318,31.0,0.013684198260307312,0.0,0.0,0.0,0.48597006741968746
319,32.0,0.01087051210924983,2.0,0.0,0.0,0.484804963167939
320,33.0,0.013615530217066407,1.0,0.0,0.0,0.48335251016859243
321,30.0,0.0067435018718242645,3.0,0.0,0.0,0.48262791629011315
322,31.0,0.006780466763302684,3.0,0.0,0.0,0.4819044086505127
323,30.0,0.0041385076474398375,3.0,0.0,0.0,0.4814708247839062
324,29.0,0.004107495071366429,3.0,0.0,0.0,0.48103763102572367
325,35.0,0.009998196037486196,3.0,0.0,0.0,0.4800283607072482
326,33.0,0.01094671175815165,1.0,0.0,0.0,0.47887750158748915
327,31.0,0.008102137362584472,3.0,0.0,0.0,0.47801616831072324
328,28.0,0.00283049582503736,3.0,0.0,0.0,0.477729401631192
329,31.0,0.003982412861660123,3.0,0.0,0.0,0.4772995741437637
330,34.0,0.015077690593898296,0.0,0.0,0.0,0.4757268460568872
331,32.0,0.007823409279808402,3.0,0.0,0.0,0.4750136838135364
332,26.0,0.02584743918851018,0.0,0.0,0.0,0.47373268483472925
333,29.0,0.01966268289834261,1.0,0.0,0.0,0.4725969194814765
334,27.0,0.021197499707341194,0.0,0.0,0.0,0.471322437941528
335,33.0,0.015055686002597213,1.0,0.0,0.0,0.4700513933753065
336,30.0,0.01016289321705699,2.0,0.0,0.0,0.4692059351828414
337,37.0,0.015437715919688344,1.0,0.0,0.0,0.46780021614190115
338,27.0,0.004249722231179476,3.0,0.0,0.0,0.46737932224080125
339,34.0,0.012399645056575537,2.0,0.0,0.0,0.4662587889569029
340,36.0,0.012902566930279136,2.0,0.0,0.0,0.46514094213083573
341,33.0,0.013730508275330067,2.0,0.0,0.0,0.4640257753218666
342,33.0,0.004256370943039656,3.0,0.0,0.0,0.46360827739850763
343,33.0,0.0144898253493011,2.0,0.0,0.0,0.46249678512489745
344,30.0,0.014324751915410161,1.0,0.0,0.0,0.46138795763346335
345,27.0,0.018706559436395764,0.0,0.0,0.0,0.46000566088767914
346,26.0,0.003531436901539564,3.0,0.0,0.0,0.45972969889165605
347,28.0,0.014899394940584898,1.0,0.0,0.0,0.4586275054383067
348,35.0,0.0163101137150079,2.0,0.0,0.0,0.45739069608704175
349,34.0,0.022072928259149194,0.0,0.0,0.0,0.45574680376679555
350,32.0,0.01623518788255751,1.0,0.0,0.0,0.4545177629831008
351,29.0,0.008772486820816994,3.0,0.0,0.0,0.45383639528191155
352,31.0,0.005938387010246515,3.0,0.0,0.0,0.45342806504973104
353,29.0,0.005367349833250046,3.0,0.0,0.0,0.4530201022045214
354,36.0,0.016230930341407657,2.0,0.0,0.0,0.4517984146867131
355,28.0,0.005946839228272438,3.0,0.0,0.0,0.45139191808686857
356,29.0,0.014599323971197009,1.0,0.0,0.0,0.4503097143088451
357,31.0,0.01631631306372583,1.0,0.0,0.0,0.4490953360628427
358,31.0,0.004200158873572946,3.0,0.0,0.0,0.44869127150400134
359,34.0,0.01375026605091989,1.0,0.0,0.0,0.4474812578134863
360,26.0,0.009276188211515546,2.0,0.0,0.0,0.4466763954075346
361,27.0,0.004158237017691135,3.0,0.0,0.0,0.44627450724223433
362,37.0,0.013209034921601415,2.0,0.0,0.0,0.44507101099038865
363,35.0,0.012738386867567897,2.0,0.0,0.0,0.4440039614702645
364,35.0,0.012406375026330352,2.0,0.0,0.0,0.4429394701816366
365,29.0,0.008724695537239313,3.0,0.0,0.0,0.442142776864461
366,29.0,0.019092771224677563,0.0,0.0,0.0,0.44068589233898925
367,29.0,0.007400065893307328,3.0,0.0,0.0,0.4400252599988166
368,30.0,0.013954243855550885,1.0,0.0,0.0,0.438838616481134
369,34.0,0.013665111269801855,2.0,0.0,0.0,0.43765517305891427
370,30.0,0.012044163420796394,1.0,0.0,0.0,0.43660590287312245
371,30.0,0.004265119321644306,3.0,0.0,0.0,0.4362130754323421
372,28.0,0.005250169197097421,3.0,0.0,0.0,0.4358206014302057
373,31.0,0.015596621669828892,0.0,0.0,0.0,0.4345149032880333
374,32.0,0.014166916254907846,1.0,0.0,0.0,0.4333431198924059
375,27.0,0.00716015393845737,3.0,0.0,0.0,0.4328233421070223
376,28.0,0.009564827661961317,3.0,0.0,0.0,0.43230418777435725
377,31.0,0.0063800630159676075,3.0,0.0,0.0,0.4319152307158189
378,33.0,0.009485203074291348,3.0,0.0,0.0,0.4311383661529102
379,34.0,0.011282360879704356,2.0,0.0,0.0,0.43023379002819767
380,32.0,0.007407050812616944,3.0,0.0,0.0,0.4295888264374208
381,29.0,0.008659166982397437,2.0,0.0,0.0,0.42881614626282344
382,34.0,0.01485156500712037,0.0,0.0,0.0,0.4275314331407924
383,39.0,0.014938127482309937,1.0,0.0,0.0,0.4262505689591995
384,30.0,0.0052011022344231606,3.0,0.0,0.0,0.4258670585232811
385,36.0,0.016114426078274846,1.0,0.0,0.0,0.4245911807302133
