episode,ep_length,ep_env_return,ep_shaping_return,ep_final_bonus
289,121.0,0.0,0.0,0.0
290,96.0,0.0,0.0,0.0
291,119.0,0.0,0.0,0.0
292,142.0,2.0,0.0,0.0
293,115.0,2.0,0.0,0.0
294,115.0,3.0,0.0,0.0
295,119.0,3.0,0.0,0.0
296,126.0,2.0,0.0,0.0
297,122.0,1.0,0.0,0.0
298,119.0,2.0,0.0,0.0
299,98.0,0.0,0.0,0.0
300,93.0,3.0,0.0,0.0
301,100.0,3.0,0.0,0.0
302,101.0,0.0,0.0,0.0
303,107.0,3.0,0.0,0.0
304,99.0,2.0,0.0,0.0
305,103.0,2.0,0.0,0.0
306,88.0,1.0,0.0,0.0
307,123.0,0.0,0.0,0.0
308,114.0,1.0,0.0,0.0
309,139.0,0.0,0.0,0.0
310,113.0,2.0,0.0,0.0
311,85.0,3.0,0.0,0.0
312,90.0,0.0,0.0,0.0
313,109.0,1.0,0.0,0.0
314,106.0,0.0,0.0,0.0
315,89.0,3.0,0.0,0.0
316,117.0,1.0,0.0,0.0
317,86.0,1.0,0.0,0.0
318,103.0,0.0,0.0,0.0
319,106.0,0.0,0.0,0.0
320,111.0,3.0,0.0,0.0
321,99.0,2.0,0.0,0.0
322,113.0,2.0,0.0,0.0
323,106.0,2.0,0.0,0.0
324,117.0,0.0,0.0,0.0
325,131.0,1.0,0.0,0.0
326,113.0,3.0,0.0,0.0
327,124.0,0.0,0.0,0.0
328,129.0,2.0,0.0,0.0
329,96.0,0.0,0.0,0.0
330,94.0,2.0,0.0,0.0
331,121.0,1.0,0.0,0.0
332,108.0,3.0,0.0,0.0
333,118.0,1.0,0.0,0.0
334,95.0,2.0,0.0,0.0
335,121.0,1.0,0.0,0.0
336,102.0,2.0,0.0,0.0
337,106.0,2.0,0.0,0.0
338,114.0,1.0,0.0,0.0
339,119.0,3.0,0.0,0.0
340,139.0,0.0,0.0,0.0
341,117.0,2.0,0.0,0.0
342,121.0,3.0,0.0,0.0
343,127.0,3.0,0.0,0.0
344,124.0,0.0,0.0,0.0
345,106.0,2.0,0.0,0.0
346,107.0,0.0,0.0,0.0
347,104.0,3.0,0.0,0.0
348,125.0,1.0,0.0,0.0
349,111.0,1.0,0.0,0.0
350,108.0,1.0,0.0,0.0
351,121.0,3.0,0.0,0.0
352,107.0,3.0,0.0,0.0
