episode,ep_length,ep_env_return_p0,ep_shaping_return_p0,ep_final_bonus_p0,ep_env_return_avg,ep_shaping_return_avg,ep_final_bonus_avg,epsilon
231,27.0,2.0,0.0,0.0,1.5,0.0,0.0,0.12445481165977013
232,33.0,0.0,0.0,0.0,1.5,0.0,0.0,0.1232286048244805
233,30.0,1.0,0.0,0.0,1.5,0.0,0.0,0.1221243582999313
234,27.0,0.0,0.0,0.0,1.5,0.0,0.0,0.12113899927874612
235,24.0,1.0,0.0,0.0,1.5,0.0,0.0,0.12026980096709129
236,28.0,2.0,0.0,0.0,1.5,0.0,0.0,0.1192636155994101
237,32.0,3.0,0.0,0.0,1.5,0.0,0.0,0.11812399288035318
238,39.0,2.0,0.0,0.0,1.5,0.0,0.0,0.11674979078382192
239,34.0,0.0,0.0,0.0,1.5,0.0,0.0,0.11556481879551124
240,34.0,3.0,0.0,0.0,1.5,0.0,0.0,0.11439187388325486
241,28.0,2.0,0.0,0.0,1.5,0.0,0.0,0.11343486365493946
242,22.0,0.0,0.0,0.0,1.5,0.0,0.0,0.11268854715572466
243,23.0,0.0,0.0,0.0,1.5,0.0,0.0,0.11191355671821418
244,37.0,1.0,0.0,0.0,1.5,0.0,0.0,0.11067800091863818
245,36.0,1.0,0.0,0.0,1.5,0.0,0.0,0.10948893266757068
246,28.0,3.0,0.0,0.0,1.5,0.0,0.0,0.10857294078026986
247,33.0,3.0,0.0,0.0,1.5,0.0,0.0,0.10750321209451831
248,32.0,2.0,0.0,0.0,1.5,0.0,0.0,0.10647596583622937
249,30.0,0.0,0.0,0.0,1.5,0.0,0.0,0.10552183902946925
250,29.0,2.0,0.0,0.0,1.5,0.0,0.0,0.1046076444076077
251,33.0,1.0,0.0,0.0,1.5,0.0,0.0,0.10357698430788558
252,35.0,1.0,0.0,0.0,1.5,0.0,0.0,0.10249495426040285
253,20.0,2.0,0.0,0.0,1.5,0.0,0.0,0.10188173404778215
254,24.0,0.0,0.0,0.0,1.5,0.0,0.0,0.10115071074603746
255,27.0,0.0,0.0,0.0,1.5,0.0,0.0,0.100334577365929
256,29.0,2.0,0.0,0.0,1.5,0.0,0.0,0.09946532288876749
257,25.0,2.0,0.0,0.0,1.5,0.0,0.0,0.09872201236420214
258,27.0,3.0,0.0,0.0,1.5,0.0,0.0,0.0979254749098663
259,23.0,1.0,0.0,0.0,1.5,0.0,0.0,0.09725201422056531
260,24.0,2.0,0.0,0.0,1.5,0.0,0.0,0.096554210151943
