[2025-09-09 22:59:11] New Training (k1a1)
[2025-09-09 22:59:11] Deck_Size: 64
[2025-09-09 22:59:11] Episodes: 20000
[2025-09-09 22:59:11] Path: /home/wasterix/Multiagent/OpenSpiel_neu/open_spiel/President/models/k1a1/model_17
[2025-09-09 22:59:26] [Population] Episode 247: Lineup -> ['max_combo', 'random2', 'max_combo']
[2025-09-09 22:59:26] [Population] Episode 248: Lineup -> ['single_only', 'single_only', 'max_combo']
[2025-09-09 22:59:26] [Population] Episode 249: Lineup -> ['single_only', 'random2', 'random2']
[2025-09-09 22:59:26] [Population] Episode 250: Lineup -> ['max_combo', 'max_combo', 'max_combo']
[2025-09-09 22:59:26] [Population] Episode 251: Lineup -> ['single_only', 'random2', 'max_combo']
[2025-09-09 22:59:26] [Population] Episode 252: Lineup -> ['max_combo', 'random2', 'max_combo']
[2025-09-09 22:59:26] [Population] Episode 253: Lineup -> ['single_only', 'random2', 'max_combo']
[2025-09-09 22:59:26] [Population] Episode 254: Lineup -> ['max_combo', 'max_combo', 'random2']
[2025-09-09 22:59:26] [Population] Episode 255: Lineup -> ['max_combo', 'max_combo', 'max_combo']
[2025-09-09 22:59:26] [Population] Episode 256: Lineup -> ['max_combo', 'single_only', 'max_combo']
[2025-09-09 22:59:26] [Population] Episode 257: Lineup -> ['single_only', 'single_only', 'random2']
[2025-09-09 22:59:24] [Population] Episode 258: Lineup -> ['max_combo', 'random2', 'single_only']
[2025-09-09 22:59:24] [Population] Episode 259: Lineup -> ['max_combo', 'random2', 'random2']
[2025-09-09 22:59:24] [Population] Episode 260: Lineup -> ['max_combo', 'random2', 'single_only']
[2025-09-09 22:59:24] [Population] Episode 261: Lineup -> ['single_only', 'random2', 'single_only']
[2025-09-09 22:59:24] [Population] Episode 262: Lineup -> ['random2', 'max_combo', 'random2']
[2025-09-09 22:59:25] [Population] Episode 263: Lineup -> ['single_only', 'max_combo', 'single_only']
[2025-09-09 22:59:25] [Population] Episode 264: Lineup -> ['max_combo', 'max_combo', 'max_combo']
[2025-09-09 22:59:25] [Population] Episode 265: Lineup -> ['single_only', 'max_combo', 'max_combo']
[2025-09-09 22:59:25] [Population] Episode 266: Lineup -> ['random2', 'random2', 'random2']
[2025-09-09 22:59:25] [Population] Episode 267: Lineup -> ['max_combo', 'random2', 'single_only']
[2025-09-09 22:59:25] [Population] Episode 268: Lineup -> ['max_combo', 'max_combo', 'random2']
[2025-09-09 22:59:25] [Population] Episode 269: Lineup -> ['max_combo', 'single_only', 'random2']
[2025-09-09 22:59:25] [Population] Episode 270: Lineup -> ['max_combo', 'max_combo', 'random2']
[2025-09-09 22:59:25] [Population] Episode 271: Lineup -> ['single_only', 'max_combo', 'random2']
[2025-09-09 22:59:25] [Population] Episode 272: Lineup -> ['random2', 'single_only', 'single_only']
[2025-09-09 22:59:25] [Population] Episode 273: Lineup -> ['max_combo', 'max_combo', 'single_only']
