episode,wall_s,steps,p0_transitions,p1_transitions,p2_transitions,p3_transitions,p0_train_calls,p1_train_calls,p2_train_calls,p3_train_calls,eps_p0,eps_p1,eps_p2,eps_p3
149,0.134569,87,26,18,23,20,26,18,23,20,0.1,0.1,0.1,0.1
150,0.119691,80,20,21,23,16,20,21,23,16,0.1,0.1,0.1,0.1
151,0.127266,75,19,14,22,20,19,14,22,20,0.1,0.1,0.1,0.1
152,0.118676,71,16,20,17,18,16,20,17,18,0.1,0.1,0.1,0.1
153,0.121225,74,13,22,18,21,13,22,18,21,0.1,0.1,0.1,0.1
154,0.121201,76,20,13,17,26,20,13,17,26,0.1,0.1,0.1,0.1
155,0.120567,85,21,18,23,23,21,18,23,23,0.1,0.1,0.1,0.1
156,0.097416,74,20,16,16,22,20,16,16,22,0.1,0.1,0.1,0.1
157,0.090387,68,12,18,21,17,12,18,21,17,0.1,0.1,0.1,0.1
158,0.107221,74,16,18,20,20,16,18,20,20,0.1,0.1,0.1,0.1
159,0.155327,93,25,25,24,19,25,25,24,19,0.1,0.1,0.1,0.1
160,0.113266,75,19,16,18,22,19,16,18,22,0.1,0.1,0.1,0.1
161,0.091346,69,20,20,18,11,20,20,18,11,0.1,0.1,0.1,0.1
162,0.102555,76,19,17,19,21,19,17,19,21,0.1,0.1,0.1,0.1
163,0.113154,83,22,21,16,24,22,21,16,24,0.1,0.1,0.1,0.1
164,0.114504,85,19,21,24,21,19,21,24,21,0.1,0.1,0.1,0.1
165,0.107747,80,19,22,21,18,19,22,21,18,0.1,0.1,0.1,0.1
166,0.090318,66,16,16,19,15,16,16,19,15,0.1,0.1,0.1,0.1
167,0.126709,82,23,17,23,19,23,17,23,19,0.1,0.1,0.1,0.1
168,0.129666,77,16,21,21,19,16,21,21,19,0.1,0.1,0.1,0.1
169,0.135204,75,19,19,16,21,19,19,16,21,0.1,0.1,0.1,0.1
170,0.12896,75,21,19,17,18,21,19,17,18,0.1,0.1,0.1,0.1
171,0.138581,86,20,23,24,19,20,23,24,19,0.1,0.1,0.1,0.1
172,0.11478,77,20,22,18,17,20,22,18,17,0.1,0.1,0.1,0.1
173,0.107798,70,14,18,17,21,14,18,17,21,0.1,0.1,0.1,0.1
174,0.106583,63,12,12,18,21,12,12,18,21,0.1,0.1,0.1,0.1
175,0.107483,69,13,19,17,20,13,19,17,20,0.1,0.1,0.1,0.1
176,0.129011,75,15,19,20,21,15,19,20,21,0.1,0.1,0.1,0.1
177,0.122876,73,19,20,16,18,19,20,16,18,0.1,0.1,0.1,0.1
178,0.126552,80,16,21,24,19,16,21,24,19,0.1,0.1,0.1,0.1
179,0.120391,78,15,21,21,21,15,21,21,21,0.1,0.1,0.1,0.1
180,0.117687,79,19,21,17,22,19,21,17,22,0.1,0.1,0.1,0.1
181,0.115508,75,18,15,22,20,18,15,22,20,0.1,0.1,0.1,0.1
182,0.127786,78,18,22,18,20,18,22,18,20,0.1,0.1,0.1,0.1
183,0.1248,76,16,21,17,22,16,21,17,22,0.1,0.1,0.1,0.1
184,0.114756,72,22,11,18,21,22,11,18,21,0.1,0.1,0.1,0.1
185,0.126872,81,23,25,17,16,23,25,17,16,0.1,0.1,0.1,0.1
186,0.121916,77,17,23,18,19,17,23,18,19,0.1,0.1,0.1,0.1
187,0.128966,75,20,20,16,19,20,20,16,19,0.1,0.1,0.1,0.1
188,0.132821,76,20,17,19,20,20,17,19,20,0.1,0.1,0.1,0.1
189,0.134383,79,17,21,22,19,17,21,22,19,0.1,0.1,0.1,0.1
190,0.133206,77,22,13,18,24,22,13,18,24,0.1,0.1,0.1,0.1
191,0.122398,79,19,21,16,23,19,21,16,23,0.1,0.1,0.1,0.1
192,0.111346,68,19,21,13,15,19,21,13,15,0.1,0.1,0.1,0.1
193,0.146169,80,20,17,20,23,20,17,20,23,0.1,0.1,0.1,0.1
194,0.124434,74,17,21,13,23,17,21,13,23,0.1,0.1,0.1,0.1
195,0.141552,83,20,22,18,23,20,22,18,23,0.1,0.1,0.1,0.1
196,0.105854,67,21,17,19,10,21,17,19,10,0.1,0.1,0.1,0.1
197,0.131174,79,21,24,15,19,21,24,15,19,0.1,0.1,0.1,0.1
198,0.118778,75,20,18,18,19,20,18,18,19,0.1,0.1,0.1,0.1
199,0.112425,74,13,19,22,20,13,19,22,20,0.1,0.1,0.1,0.1
200,0.134304,86,22,19,21,24,22,19,21,24,0.1,0.1,0.1,0.1
201,0.106208,72,12,22,21,17,12,22,21,17,0.1,0.1,0.1,0.1
202,0.101916,69,17,12,18,22,17,12,18,22,0.1,0.1,0.1,0.1
203,0.125785,75,15,16,23,21,15,16,23,21,0.1,0.1,0.1,0.1
204,0.136975,80,21,22,17,20,21,22,17,20,0.1,0.1,0.1,0.1
205,0.143653,85,21,18,22,24,21,18,22,24,0.1,0.1,0.1,0.1
206,0.129114,83,22,23,21,17,22,23,21,17,0.1,0.1,0.1,0.1
207,0.119197,79,21,19,21,18,21,19,21,18,0.1,0.1,0.1,0.1
208,0.124451,78,21,17,21,19,21,17,21,19,0.1,0.1,0.1,0.1
209,0.132195,76,19,19,21,17,19,19,21,17,0.1,0.1,0.1,0.1
210,0.129087,83,18,20,23,22,18,20,23,22,0.1,0.1,0.1,0.1
211,0.127828,74,17,21,24,12,17,21,24,12,0.1,0.1,0.1,0.1
212,0.108878,68,17,13,18,20,17,13,18,20,0.1,0.1,0.1,0.1
213,0.100729,65,18,16,18,13,18,16,18,13,0.1,0.1,0.1,0.1
214,0.11486,71,22,11,17,21,22,11,17,21,0.1,0.1,0.1,0.1
215,0.117379,68,13,22,12,21,13,22,12,21,0.1,0.1,0.1,0.1
216,0.141462,77,21,19,19,18,21,19,19,18,0.1,0.1,0.1,0.1
217,0.119829,71,15,21,16,19,15,21,16,19,0.1,0.1,0.1,0.1
218,0.117631,72,19,17,14,22,19,17,14,22,0.1,0.1,0.1,0.1
219,0.103616,68,21,15,13,19,21,15,13,19,0.1,0.1,0.1,0.1
220,0.124471,76,20,18,21,17,20,18,21,17,0.1,0.1,0.1,0.1
221,0.105371,66,12,20,16,18,12,20,16,18,0.1,0.1,0.1,0.1
222,0.117311,72,20,21,14,17,20,21,14,17,0.1,0.1,0.1,0.1
223,0.144166,85,23,22,16,24,23,22,16,24,0.1,0.1,0.1,0.1
224,0.113512,76,20,21,13,22,20,21,13,22,0.1,0.1,0.1,0.1
225,0.111022,77,22,20,19,16,22,20,19,16,0.1,0.1,0.1,0.1
226,0.109958,68,14,18,16,20,14,18,16,20,0.1,0.1,0.1,0.1
227,0.131806,77,20,24,16,17,20,24,16,17,0.1,0.1,0.1,0.1
228,0.092748,65,17,18,14,16,17,18,14,16,0.1,0.1,0.1,0.1
229,0.105028,79,24,17,18,20,24,17,18,20,0.1,0.1,0.1,0.1
230,0.107623,80,20,17,21,22,20,17,21,22,0.1,0.1,0.1,0.1
231,0.105236,78,19,16,21,22,19,16,21,22,0.1,0.1,0.1,0.1
232,0.10061,74,19,20,22,13,19,20,22,13,0.1,0.1,0.1,0.1
233,0.122129,83,26,21,12,24,26,21,12,24,0.1,0.1,0.1,0.1
234,0.100546,65,12,19,17,17,12,19,17,17,0.1,0.1,0.1,0.1
235,0.10412,72,19,19,18,16,19,19,18,16,0.1,0.1,0.1,0.1
236,0.110609,77,20,22,17,18,20,22,17,18,0.1,0.1,0.1,0.1
237,0.085908,61,7,15,18,21,7,15,18,21,0.1,0.1,0.1,0.1
238,0.124626,74,21,18,15,20,21,18,15,20,0.1,0.1,0.1,0.1
239,0.127858,74,15,21,18,20,15,21,18,20,0.1,0.1,0.1,0.1
240,0.135551,85,21,22,23,19,21,22,23,19,0.1,0.1,0.1,0.1
241,0.154953,85,22,19,24,20,22,19,24,20,0.1,0.1,0.1,0.1
242,0.123659,76,19,17,18,22,19,17,18,22,0.1,0.1,0.1,0.1
243,0.125834,80,22,18,19,21,22,18,19,21,0.1,0.1,0.1,0.1
244,0.124969,72,20,16,18,18,20,16,18,18,0.1,0.1,0.1,0.1
245,0.132084,76,23,16,11,26,23,16,11,26,0.1,0.1,0.1,0.1
246,0.128155,77,18,17,20,22,18,17,20,22,0.1,0.1,0.1,0.1
247,0.121905,72,13,19,18,22,13,19,18,22,0.1,0.1,0.1,0.1
248,0.113462,76,19,21,22,14,19,21,22,14,0.1,0.1,0.1,0.1
249,0.138268,84,23,21,21,19,23,21,21,19,0.1,0.1,0.1,0.1
250,0.129326,80,23,17,21,19,23,17,21,19,0.1,0.1,0.1,0.1
251,0.125327,77,19,20,20,18,19,20,20,18,0.1,0.1,0.1,0.1
252,0.139006,75,12,20,21,22,12,20,21,22,0.1,0.1,0.1,0.1
253,0.114371,70,14,18,16,22,14,18,16,22,0.1,0.1,0.1,0.1
254,0.121294,78,22,19,21,16,22,19,21,16,0.1,0.1,0.1,0.1
255,0.129265,82,19,22,24,17,19,22,24,17,0.1,0.1,0.1,0.1
256,0.102253,65,16,21,20,8,16,21,20,8,0.1,0.1,0.1,0.1
257,0.132237,85,20,23,24,18,20,23,24,18,0.1,0.1,0.1,0.1
258,0.099239,71,18,20,15,18,18,20,15,18,0.1,0.1,0.1,0.1
259,0.123101,73,17,19,20,17,17,19,20,17,0.1,0.1,0.1,0.1
260,0.142403,85,24,17,21,23,24,17,21,23,0.1,0.1,0.1,0.1
261,0.114769,71,18,19,16,18,18,19,16,18,0.1,0.1,0.1,0.1
262,0.102139,69,16,18,15,20,16,18,15,20,0.1,0.1,0.1,0.1
263,0.106675,68,18,17,13,20,18,17,13,20,0.1,0.1,0.1,0.1
264,0.122221,78,12,20,24,22,12,20,24,22,0.1,0.1,0.1,0.1
265,0.11918,77,20,14,21,22,20,14,21,22,0.1,0.1,0.1,0.1
266,0.111236,71,18,14,16,23,18,14,16,23,0.1,0.1,0.1,0.1
267,0.112505,79,21,23,17,18,21,23,17,18,0.1,0.1,0.1,0.1
268,0.10894,70,15,17,22,16,15,17,22,16,0.1,0.1,0.1,0.1
269,0.103825,67,21,10,22,14,21,10,22,14,0.1,0.1,0.1,0.1
270,0.111482,71,17,16,18,20,17,16,18,20,0.1,0.1,0.1,0.1
271,0.110199,70,16,14,21,19,16,14,21,19,0.1,0.1,0.1,0.1
272,0.110809,69,22,20,9,18,22,20,9,18,0.1,0.1,0.1,0.1
273,0.130971,82,21,23,19,19,21,23,19,19,0.1,0.1,0.1,0.1
274,0.097668,69,19,17,18,15,19,17,18,15,0.1,0.1,0.1,0.1
275,0.11315,82,18,20,21,23,18,20,21,23,0.1,0.1,0.1,0.1
276,0.107903,75,19,10,24,22,19,10,24,22,0.1,0.1,0.1,0.1
277,0.091489,67,11,15,20,21,11,15,20,21,0.1,0.1,0.1,0.1
278,0.11132,73,17,20,21,15,17,20,21,15,0.1,0.1,0.1,0.1
279,0.108283,68,23,7,16,22,23,7,16,22,0.1,0.1,0.1,0.1
280,0.084173,61,9,20,18,14,9,20,18,14,0.1,0.1,0.1,0.1
281,0.098514,73,22,17,15,19,22,17,15,19,0.1,0.1,0.1,0.1
282,0.106932,78,21,19,20,18,21,19,20,18,0.1,0.1,0.1,0.1
283,0.094492,68,18,14,16,20,18,14,16,20,0.1,0.1,0.1,0.1
284,0.101294,76,20,17,22,17,20,17,22,17,0.1,0.1,0.1,0.1
285,0.083649,63,15,12,17,19,15,12,17,19,0.1,0.1,0.1,0.1
286,0.103092,75,16,23,21,15,16,23,21,15,0.1,0.1,0.1,0.1
287,0.103523,74,21,23,20,10,21,23,20,10,0.1,0.1,0.1,0.1
288,0.140932,89,19,25,22,23,19,25,22,23,0.1,0.1,0.1,0.1
289,0.120224,80,17,19,21,23,17,19,21,23,0.1,0.1,0.1,0.1
290,0.086375,66,17,19,14,16,17,19,14,16,0.1,0.1,0.1,0.1
291,0.092146,70,15,23,19,13,15,23,19,13,0.1,0.1,0.1,0.1
292,0.100992,77,14,21,23,19,14,21,23,19,0.1,0.1,0.1,0.1
293,0.116408,88,23,19,24,22,23,19,24,22,0.1,0.1,0.1,0.1
294,0.087817,67,13,18,19,17,13,18,19,17,0.1,0.1,0.1,0.1
295,0.089154,66,20,18,16,12,20,18,16,12,0.1,0.1,0.1,0.1
296,0.114095,82,19,17,24,22,19,17,24,22,0.1,0.1,0.1,0.1
297,0.107705,79,20,21,18,20,20,21,18,20,0.1,0.1,0.1,0.1
298,0.083208,61,14,17,12,18,14,17,12,18,0.1,0.1,0.1,0.1
299,0.111804,69,17,19,18,15,17,19,18,15,0.1,0.1,0.1,0.1
300,0.122916,75,18,16,21,20,18,16,21,20,0.1,0.1,0.1,0.1
301,0.118397,72,21,13,22,16,21,13,22,16,0.1,0.1,0.1,0.1
302,0.149258,89,23,24,21,21,23,24,21,21,0.1,0.1,0.1,0.1
303,0.12244,73,13,20,17,23,13,20,17,23,0.1,0.1,0.1,0.1
304,0.183727,85,25,26,19,15,25,26,19,15,0.1,0.1,0.1,0.1
305,0.175445,66,14,19,16,17,14,19,16,17,0.1,0.1,0.1,0.1
306,0.188384,73,17,19,22,15,17,19,22,15,0.1,0.1,0.1,0.1
307,0.189067,71,18,19,17,17,18,19,17,17,0.1,0.1,0.1,0.1
308,0.19212,72,19,12,17,24,19,12,17,24,0.1,0.1,0.1,0.1
309,0.200336,77,19,24,13,21,19,24,13,21,0.1,0.1,0.1,0.1
310,0.123427,72,15,16,21,20,15,16,21,20,0.1,0.1,0.1,0.1
311,0.122239,78,14,22,23,19,14,22,23,19,0.1,0.1,0.1,0.1
312,0.137456,84,20,26,14,24,20,26,14,24,0.1,0.1,0.1,0.1
313,0.109676,67,17,19,17,14,17,19,17,14,0.1,0.1,0.1,0.1
314,0.108785,74,18,22,16,18,18,22,16,18,0.1,0.1,0.1,0.1
315,0.103644,75,19,17,18,21,19,17,18,21,0.1,0.1,0.1,0.1
316,0.102221,79,24,22,13,20,24,22,13,20,0.1,0.1,0.1,0.1
317,0.116078,81,20,22,23,16,20,22,23,16,0.1,0.1,0.1,0.1
318,0.109509,69,17,21,11,20,17,21,11,20,0.1,0.1,0.1,0.1
319,0.113334,82,21,24,18,19,21,24,18,19,0.1,0.1,0.1,0.1
320,0.119827,83,22,19,20,22,22,19,20,22,0.1,0.1,0.1,0.1
321,0.115668,79,21,24,15,19,21,24,15,19,0.1,0.1,0.1,0.1
