episode,wall_s,steps,p0_transitions,train_calls,epsilon
519,0.039352,82,23,23,0.1
520,0.036379,75,21,21,0.1
521,0.023532,62,13,13,0.1
522,0.039907,78,23,23,0.1
523,0.040115,70,22,22,0.1
524,0.027184,69,19,19,0.1
525,0.030592,75,21,21,0.1
526,0.02336,62,16,16,0.1
527,0.03112,76,22,22,0.1
528,0.030655,75,22,22,0.1
529,0.0313,89,23,23,0.1
530,0.030562,81,23,23,0.1
531,0.02754,68,20,20,0.1
532,0.032734,68,24,24,0.1
533,0.034051,74,23,23,0.1
534,0.035885,75,21,21,0.1
535,0.036177,75,21,21,0.1
536,0.039781,75,24,24,0.1
537,0.036941,78,23,23,0.1
538,0.0344,75,21,21,0.1
539,0.040847,65,24,24,0.1
540,0.04496,87,20,20,0.1
541,0.097969,73,19,19,0.1
542,0.089424,64,23,23,0.1
543,0.069978,75,20,20,0.1
544,0.05634,72,14,14,0.1
545,0.119358,85,27,27,0.1
546,0.082696,82,19,19,0.1
547,0.069134,71,19,19,0.1
548,0.064991,67,16,16,0.1
549,0.061927,73,19,19,0.1
550,0.053831,67,21,21,0.1
551,0.046867,66,19,19,0.1
552,0.050292,84,20,20,0.1
553,0.049117,68,22,22,0.1
554,0.040747,65,19,19,0.1
555,0.043219,69,23,23,0.1
556,0.047304,79,26,26,0.1
557,0.05874,74,24,24,0.1
558,0.045769,78,23,23,0.1
559,0.058121,71,24,24,0.1
560,0.03903,82,19,19,0.1
561,0.04369,69,19,19,0.1
562,0.057175,71,21,21,0.1
563,0.055045,86,21,21,0.1
564,0.055326,81,22,22,0.1
565,0.037683,75,19,19,0.1
566,0.040757,75,21,21,0.1
567,0.042915,80,17,17,0.1
568,0.038797,76,19,19,0.1
569,0.042972,84,23,23,0.1
570,0.039166,66,21,21,0.1
571,0.036309,74,15,15,0.1
572,0.039255,69,19,19,0.1
573,0.040373,72,25,25,0.1
574,0.041906,70,19,19,0.1
575,0.046633,74,19,19,0.1
576,0.043935,84,18,18,0.1
577,0.036488,62,22,22,0.1
578,0.032091,77,20,20,0.1
579,0.041869,73,23,23,0.1
580,0.039271,79,21,21,0.1
581,0.038093,71,22,22,0.1
582,0.035206,69,21,21,0.1
583,0.029607,72,18,18,0.1
584,0.040442,78,25,25,0.1
585,0.028138,65,16,16,0.1
586,0.031884,69,19,19,0.1
587,0.035791,80,21,21,0.1
588,0.029593,57,18,18,0.1
589,0.028268,78,17,17,0.1
590,0.027428,78,16,16,0.1
591,0.036147,80,22,22,0.1
592,0.036212,70,22,22,0.1
593,0.030335,82,18,18,0.1
594,0.027125,69,16,16,0.1
595,0.033501,83,20,20,0.1
596,0.023602,76,14,14,0.1
597,0.043792,66,27,27,0.1
598,0.040959,87,24,24,0.1
599,0.035478,67,21,21,0.1
600,0.027235,71,16,16,0.1
601,0.038744,67,23,23,0.1
602,0.041647,77,21,21,0.1
603,0.026004,74,16,16,0.1
604,0.024772,80,16,16,0.1
605,0.018458,69,12,12,0.1
606,0.03252,70,21,21,0.1
607,0.038105,77,25,25,0.1
608,0.0205,67,14,14,0.1
609,0.031629,66,22,22,0.1
610,0.035691,79,24,24,0.1
611,0.027542,59,18,18,0.1
612,0.034092,87,23,23,0.1
613,0.033083,82,22,22,0.1
614,0.040333,77,24,24,0.1
615,0.032317,69,19,19,0.1
616,0.043801,95,27,27,0.1
617,0.033652,77,20,20,0.1
618,0.035826,78,21,21,0.1
619,0.030074,75,19,19,0.1
620,0.031267,67,22,22,0.1
621,0.034095,71,24,24,0.1
622,0.025929,77,18,18,0.1
623,0.029175,78,18,18,0.1
624,0.031762,85,21,21,0.1
625,0.025134,65,18,18,0.1
626,0.037418,76,27,27,0.1
627,0.024409,77,17,17,0.1
628,0.028024,66,20,20,0.1
629,0.033323,72,24,24,0.1
630,0.034446,75,24,24,0.1
631,0.028177,86,19,19,0.1
632,0.026977,64,19,19,0.1
633,0.026671,74,16,16,0.1
634,0.022614,62,13,13,0.1
635,0.043373,85,26,26,0.1
636,0.026905,79,16,16,0.1
637,0.036468,70,22,22,0.1
638,0.029387,75,18,18,0.1
639,0.034383,74,21,21,0.1
640,0.027507,73,19,19,0.1
641,0.02918,69,22,22,0.1
642,0.030263,70,22,22,0.1
643,0.018278,65,13,13,0.1
644,0.025878,76,19,19,0.1
645,0.028164,65,20,20,0.1
646,0.028091,75,20,20,0.1
647,0.030347,62,22,22,0.1
648,0.031729,68,21,21,0.1
649,0.040561,74,24,24,0.1
650,0.031895,67,19,19,0.1
651,0.027244,83,16,16,0.1
652,0.035178,76,23,23,0.1
653,0.030833,71,22,22,0.1
654,0.022639,66,16,16,0.1
655,0.0276,78,20,20,0.1
656,0.027447,68,20,20,0.1
657,0.01675,71,12,12,0.1
658,0.020624,71,15,15,0.1
659,0.03121,77,23,23,0.1
660,0.028406,80,21,21,0.1
661,0.031279,81,23,23,0.1
662,0.02661,75,16,16,0.1
663,0.034297,78,21,21,0.1
664,0.035458,74,21,21,0.1
665,0.027112,68,18,18,0.1
666,0.021258,80,15,15,0.1
667,0.030741,73,22,22,0.1
668,0.025891,68,18,18,0.1
669,0.036375,70,21,21,0.1
670,0.023434,69,16,16,0.1
671,0.01959,67,13,13,0.1
672,0.025943,73,18,18,0.1
673,0.032782,81,23,23,0.1
674,0.045491,77,27,27,0.1
675,0.035527,76,20,20,0.1
676,0.032002,75,22,22,0.1
677,0.023083,69,16,16,0.1
678,0.025007,66,17,17,0.1
679,0.030152,66,21,21,0.1
680,0.020262,73,14,14,0.1
681,0.029874,73,21,21,0.1
682,0.031522,80,23,23,0.1
683,0.029462,75,20,20,0.1
684,0.031566,74,22,22,0.1
685,0.029797,82,21,21,0.1
686,0.029232,74,21,21,0.1
687,0.043449,90,27,27,0.1
688,0.025258,73,15,15,0.1
689,0.037311,72,23,23,0.1
690,0.034277,71,21,21,0.1
691,0.033542,65,20,20,0.1
692,0.033979,82,19,19,0.1
693,0.037162,68,22,22,0.1
694,0.03247,80,19,19,0.1
695,0.032275,67,19,19,0.1
696,0.03561,75,21,21,0.1
697,0.034301,83,20,20,0.1
698,0.042045,87,25,25,0.1
699,0.030406,78,18,18,0.1
700,0.042913,78,26,26,0.1
701,0.037425,75,22,22,0.1
702,0.038111,78,23,23,0.1
703,0.025595,75,14,14,0.1
704,0.023534,62,14,14,0.1
705,0.024615,70,14,14,0.1
706,0.029455,74,17,17,0.1
707,0.026139,67,18,18,0.1
708,0.033033,98,23,23,0.1
709,0.030091,81,20,20,0.1
710,0.028053,74,20,20,0.1
711,0.026158,72,19,19,0.1
712,0.026512,70,18,18,0.1
713,0.029622,77,22,22,0.1
714,0.02796,72,21,21,0.1
715,0.034111,73,23,23,0.1
716,0.026285,75,16,16,0.1
717,0.035058,79,20,20,0.1
718,0.032714,70,19,19,0.1
719,0.028393,82,16,16,0.1
720,0.036226,82,21,21,0.1
721,0.031572,73,19,19,0.1
722,0.032147,73,19,19,0.1
723,0.02402,75,14,14,0.1
724,0.028721,82,17,17,0.1
725,0.031883,72,19,19,0.1
726,0.028308,69,20,20,0.1
727,0.036108,79,26,26,0.1
728,0.030531,79,22,22,0.1
729,0.026215,73,19,19,0.1
730,0.03032,74,22,22,0.1
731,0.034469,76,25,25,0.1
732,0.024952,81,18,18,0.1
733,0.016856,64,12,12,0.1
734,0.031067,74,23,23,0.1
735,0.029307,72,21,21,0.1
736,0.02343,62,17,17,0.1
737,0.027814,81,20,20,0.1
738,0.028689,78,21,21,0.1
739,0.025433,69,19,19,0.1
740,0.029351,79,22,22,0.1
741,0.03088,76,23,23,0.1
742,0.016336,65,12,12,0.1
743,0.033072,88,25,25,0.1
744,0.020586,75,15,15,0.1
745,0.031699,74,18,18,0.1
746,0.034889,90,22,22,0.1
747,0.028263,80,20,20,0.1
748,0.028362,84,20,20,0.1
749,0.030117,81,20,20,0.1
750,0.031823,71,22,22,0.1
751,0.026094,91,18,18,0.1
752,0.031758,90,22,22,0.1
753,0.03093,73,22,22,0.1
754,0.035189,90,25,25,0.1
755,0.026927,65,19,19,0.1
756,0.027923,79,20,20,0.1
757,0.028091,55,20,20,0.1
758,0.029753,77,21,21,0.1
759,0.017038,67,12,12,0.1
760,0.044021,81,21,21,0.1
761,0.045494,74,22,22,0.1
762,0.031573,63,18,18,0.1
763,0.041813,91,25,25,0.1
764,0.025303,72,15,15,0.1
765,0.035012,70,21,21,0.1
766,0.028369,63,17,17,0.1
767,0.028171,77,17,17,0.1
768,0.041875,86,26,26,0.1
769,0.034964,81,22,22,0.1
770,0.031104,80,19,19,0.1
771,0.027359,71,17,17,0.1
772,0.031724,77,20,20,0.1
773,0.021368,68,13,13,0.1
774,0.028548,65,18,18,0.1
775,0.033279,82,21,21,0.1
776,0.022638,68,14,14,0.1
777,0.019493,68,12,12,0.1
778,0.027079,71,18,18,0.1
779,0.034898,80,22,22,0.1
780,0.026847,56,16,16,0.1
781,0.023889,76,14,14,0.1
782,0.034721,80,21,21,0.1
783,0.031734,73,23,23,0.1
784,0.025314,85,18,18,0.1
785,0.032278,87,23,23,0.1
786,0.026489,75,19,19,0.1
787,0.02647,78,19,19,0.1
788,0.019259,72,14,14,0.1
789,0.025096,71,18,18,0.1
